1574720899_9M3tc,Mon Nov 25 14:30:24 PST 2019,Intel Core i5-5257U CPU @ 2.70GHz,yes,no,22.9,23.6,33.8,14/0,xmr,xmrig,auto,
1575056774_OMKru,Fri Nov 29 11:48:38 PST 2019,Intel Core i5-5257U CPU @ 2.70GHz,yes,no,41.1,42.8,48.1,16/0,xmr,xmrig,auto,
1578349600_DSfJl,Mon Jan 6 14:28:45 PST 2020,Intel Core i5-5257U CPU @ 2.70GHz,yes,no,399.2,432.3,465.7,140/0,xmr,xmrig,auto,
1578463342_zBDVc,Tue Jan 7 22:02:37 PST 2020,Intel Core i5-5257U CPU @ 2.70GHz,yes,no,346.8,273.0,272.5,192/0,xmr,xmrig,auto,
1578529652_yUoQZ,Wed Jan 8 16:28:44 PST 2020,Intel Core i5-5257U CPU @ 2.70GHz,yes,no,259.2 369.1,333.6,102/0,xmr,xmrig,auto,
1578546585_0n0Lr,Wed Jan 8 21:10:41 PST 2020,Intel Core i5-5257U CPU @ 2.70GHz,yes,no,170.3,118.8,208.3,86/0,xmr,xmrig,auto,
1578804351_x7uHG,Sat Jan 11 20:46:28 PST 2020,Intel Core i5-5257U CPU @ 2.70GHz,yes,no,423.5,382.6,383.9,346/0,xmr,xmrig,auto,
1579151818_d1flX,Wed Jan 15 21:18:54 PST 2020,Intel Core i5-5257U CPU @ 2.70GHz,yes,no,394.5,353.2,369.8,165/0,xmr,xmrig,auto,
1579224329_7LLzY,Thu Jan 16 17:26:15 PST 2020,Intel Core i5-5257U CPU @ 2.70GHz,yes,no,415.6,407.9,409.8,142/0,xmr,xmrig,auto,
1579730720_OnPHy,Wed Jan 22 14:08:23 PST 2020,Intel Core i5-5257U CPU @ 2.70GHz,yes,no,317.6,442.5,419.5,69/0,xmr,xmrig,auto,
1588049082_Dn6z5,Mon Apr 27 21:47:36 PDT 2020,Intel Core i7-6820HQ CPU @ 2.70GHz,yes,no,929.9,1027.8,982.9,229/0,xmr,xmrig,auto,
1588065921_wrQI2,Tue Apr 28 02:25:57 PDT 2020,Intel Core i7-6820HQ CPU @ 2.70GHz,yes,no,62.2,70.6,834.1,204/0,xmr,xmrig,auto,
1588106557_Rd6ZK,Tue Apr 28 13:43:07 PDT 2020,Intel Core i7-6820HQ CPU @ 2.70GHz,yes,no,815.4,819.7,832.6,76/0,xmr,xmrig,auto,
1588111705_DbbiW,Tue Apr 28 15:08:44 PDT 2020,Intel Core i7-6820HQ CPU @ 2.70GHz,yes,no,900.1,273.1,745.1,192/0,xmr,xmrig,auto,
1588128490_tdAx5,Tue Apr 28 19:48:30 PDT 2020,Intel Core i7-6820HQ CPU @ 2.70GHz,yes,no,807.0,805.5,807.0,524/0,xmr,xmrig,auto,
1613757603_ShWXL,Wed Feb 10 21:13:21 PDT 2021,Intel Core i7-6820HQ CPU @ 2.70GHz,yes,no,624.6,835.2,954.7,1830/0,xmr,xmrig,auto,
1613757861_D4Ij2,Thu Feb 11 04:11:00 PDT 2021,Intel Core i7-6820HQ CPU @ 2.70GHz,yes,no,975.0,970.3,967.4,1336/0,xmr,xmrig,auto,
1613758066_IRGQG,Fri Feb 12 01:36:00 PDT 2021,Intel Core i7-6820HQ CPU @ 2.70GHz,yes,no,624.6,835.2,954.7,4990/0,xmr,xmrig,auto,
1613758595_OSehe,Thu Feb 11 17:20:00 PDT 2021,Apple M1,yes,no,1530.6,1570.5,1543.7,3969/0,xmr,xmrig,auto,
1613758948_iKaJI,Web Feb 10 23:19:00 PDT 2021,Apple M1,yes,no,904.3,1027.1,1660.0,402/0,xmr,xmrig,auto,
1613759102_1bM5i,Web Feb 10 22:10:00 PDT 2021,Apple M1,yes,no,2187.0,2153.2,2154.4,350/0,xmr,xmrig,auto,
1617735265_JLF2d,Tue Apr 6 11:57:24 PDT 2021,Apple M1,yes,no,2080.8,2039.4,2220.7,811/0,xmr,xmrig,auto,
1617741719_i6WEA,Tue Apr 6 13:57:46 PDT 2021,Intel Core i7-6820HQ CPU @ 2.70GHz,yes,no,724.7,776.9,847.5,unknown/unknown,xmr,xmrig,auto,
1617744956_YjZL4,Tue Apr 6 14:37:25 PDT 2021,Apple M1,yes,no,2122.3,2122.7,1974.7,1252/0,xmr,xmrig,auto,
1617834909_dYo3e,Wed Apr 7 15:35:27 PDT 2021,AMD Ryzen 5 1400 quad-core processor,yes,no,850.0,848.2,820.4,270/0,xmr,xmrig,auto,
1617837582_wFnw2,Wed Apr 7 16:20:15 PDT 2021,Apple M1,yes,no,1526.3,1559.4,1569.7,673/0,xmr,xmrig,auto,
1617843709_CNiiH,Wed Apr 7 18:03:34 PDT 2021,AMD Ryzen 5 1400 quad-core processor,yes,no,2042.3,1990.1,2047.0,unknown/unknown,xmr,xmrig,auto,
1617847135_GP9jX,Wed Apr 7 18:59:47 PDT 2021,AMD Ryzen 5 1400 quad-core processor,yes,no,2181.3,2172.3,2174.2,200/0,xmr,xmrig,auto,
1617847065_NoZ08,Wed Apr 7 19:05:19 PDT 2021,Apple M1,yes,no,2003.6,2091.3,2072.9,559/0,xmr,xmrig,auto,
1617847701_bgK2p,Wed Apr 7 19:09:43 PDT 2021,Intel Core i7-6820HQ CPU @ 2.70GHz,yes,no,1186.9,1196.6,1125.3,738/0,xmr,xmrig,auto,
1617924275_GxD1S,Thu Apr 8 16:25:10 PDT 2021,Apple M1,yes,no,2180.7,2180.1,2180.0,7848/0,xmr,xmrig,auto,
1618018640_z6o3l,Fri Apr 9 18:37:58 PDT 2021,AMD Ryzen 5 1400 quad-core processor,yes,no,2153.1,2148.0,2157.6,21811/0,xmr,xmrig,auto,
1618192978_n8FVE,Sun Apr 11 19:04:19 PDT 2021,Apple M1,yes,no,2189.3,2187.5,2181.6,34787/0,xmr,xmrig,auto,
1618213054_3POZq,Mon Apr 12 00:38:28 PDT 2021,Intel Core i7-6820HQ CPU @ 2.70GHz,yes,no,1079.1,1073.5,1081.2,1245/0,xmr,xmrig,auto,
1618213677_i8KJi,Mon Apr 12 00:48:07 PDT 2021,NVIDIA GeForce GTX 1080 GPU,yes,no,20.47,20.37,20.41,unknown/unknown,eth,ethminer,auto,
1618213699_ppImi,Mon Apr 12 00:48:29 PDT 2021,Intel Core i7-8700K CPU @ 3.70GHz,yes,no,3476.5,3412.2,3380.6,unknown/unknown,xmr,xmrig,auto,
1618265007_RHsA4,Mon Apr 12 15:04:20 PDT 2021,AMD Ryzen 5 1400 quad-core processor,yes,no,2184.5,2176.0,2172.6,30172/0,xmr,xmrig,auto,
1618273984_9wm9B,Mon Apr 12 17:33:15 PDT 2021,AMD Ryzen 5 1400 quad-core processor+AMD Radeon RX 570 GPU,yes,no,1588.5,1735.0,1942.4,733/0,xmr,xmrig,auto,
1618281776_F9a9C,Mon Apr 12 19:43:10 PDT 2021,Intel Core i7-8700K CPU @ 3.70GHz,yes,no,3145.2,2889.8,3243.4,6232/0,xmr,xmrig,auto,
1618281804_xUh5L,Mon Apr 12 19:43:34 PDT 2021,NVIDIA GeForce GTX 1080 GPU,yes,no,19.01,20.36,20.21,unknown/unknown,eth,ethminer,auto,
1618300873_8nwMe,Tue Apr 13 01:01:15 PDT 2021,Apple M1,yes,no,1977.5,2131.3,2150.2,13579/0,xmr,xmrig,auto,
1618301254_pHczZ,Tue Apr 13 01:08:05 PDT 2021,NVIDIA GeForce GTX 1080 GPU,yes,no,21.07,21.12,20.94,unknown/unknown,eth,ethminer,auto,
1618301296_vpTmY,Tue Apr 13 01:08:25 PDT 2021,Intel Core i7-8700K CPU @ 3.70GHz,yes,no,3207.2,3199.2,3248.7,2807/0,xmr,xmrig,auto,
1618393762_XWyTZ,Wed Apr 14 02:49:39 PDT 2021,Intel Core i7-8700K CPU @ 3.70GHz,yes,no,4237.1,4240.4,4240.2,3333/0,xmr,xmrig,auto,
1618393785_z9o5X,Wed Apr 14 02:49:51 PDT 2021,NVIDIA GeForce GTX 1080 GPU,yes,no,21.31,20.88,21.03,unknown/unknown,eth,ethminer,auto,
1618538401_HJfNR,Thu Apr 15 19:00:20 PDT 2021,Apple M1,yes,no,1850.1,1787.3,2111.3,26060/0,xmr,xmrig,auto,
1618540057_P8owa,Thu Apr 15 19:27:49 PDT 2021,Intel Core i7-8700K CPU @ 3.70GHz,yes,no,4025.4,3785.9,4199.0,12495/0,xmr,xmrig,auto,
1618540078_93l8w,Thu Apr 15 19:28:12 PDT 2021,NVIDIA GeForce GTX 1080 GPU,yes,no,21.91,21.09,20.83,unknown/unknown,eth,ethminer,auto,
1618545037_sDy2u,Thu Apr 15 20:50:45 PDT 2021,AMD Ryzen 5 1400 quad-core processor+AMD Radeon RX 570 GPU,yes,no,unknown,unknown,unknown,unknown/unknown,xmr,xmrig,auto,
1618550187_hQST8,Thu Apr 15 22:16:40 PDT 2021,AMD Radeon RX 570 GPU,yes,no,355.1,341.5,344.2,21/0,xmr,xmrig,auto,
1619046104_UAjTR,Wed Apr 21 16:02:03 PDT 2021,AMD Radeon RX 570 GPU,yes,no,275.7,277.4,296.1,203/0,xmr,xmrig,auto,
1619146175_YlyG3,Thu Apr 22 19:49:44 PDT 2021,AMD Radeon RX 570 GPU,yes,no,325.9,337.4,350.2,unknown/unknown,xmr,xmrig,auto,
1619161248_k15Ni,Fri Apr 23 00:01:01 PDT 2021,AMD Radeon RX 570 GPU,yes,no,310.1,333.1,341.7,148/0,xmr,xmrig,auto,
1619284857_caR2V,Sat Apr 24 10:21:07 PDT 2021,AMD Radeon RX 570 GPU,yes,no,309.7,335.9,342.6,1237/0,xmr,xmrig,auto,
1619311474_In6IT,Sat Apr 24 17:44:42 PDT 2021,Intel Core i7-6820HQ CPU @ 2.70GHz,yes,no,775.6,805.2,1109.2,788/0,xmr,xmrig,auto,
1619400666_D48cG,Sun Apr 25 18:31:16 PDT 2021,AMD Radeon RX 570 GPU,yes,no,373.9,374.9,345.1,919/0,xmr,xmrig,auto,
1619476517_Z8uYO,Mon Apr 26 15:35:27 PDT 2021,Apple M1,yes,no,2095.3,2139.4,2144.8,12278/0,xmr,xmrig,auto,
1619477075_R7PCd,Mon Apr 26 15:45:14 PDT 2021,Intel Xeon CPU E5-2430 CPU @ 2.20GHz,yes,no,1943.9,1943.1,unknown,45/0,xmr,xmrig,auto,
1619594406_IaW0l,Wed Apr 28 00:20:29 PDT 2021,Intel Xeon CPU E5-2430 CPU @ 2.20GHz,yes,no,2015.6,2016.4,2017.5,6991/0,xmr,xmrig,auto,
1619677604_K1GN3,Wed Apr 28 23:26:53 PDT 2021,Intel Xeon CPU E5-2430 CPU @ 2.20GHz,yes,no,2014.3,2014.1,2013.0,5051/0,xmr,xmrig,auto,
1619719026_O7mzZ,Thu Apr 29 10:57:26 PDT 2021,Intel Xeon CPU E5-2430 CPU @ 2.20GHz,yes,no,2010.4,2013.7,2013.8,2483/0,xmr,xmrig,auto,
1619803801_uvK4p,Fri Apr 30 10:30:21 PDT 2021,Intel Xeon CPU E5-2430 CPU @ 2.20GHz,yes,no,1974.4,1974.2,1973.0,4655/0,xmr,xmrig,auto,
1619812647_8alcB,Fri Apr 30 12:57:39 PDT 2021,Intel Xeon CPU E5-2430 CPU @ 2.20GHz,yes,no,1989.3,1987.6,1988.0,346/0,xmr,xmrig,auto,
1619854718_3xmni,Sat May  1 00:39:01 PDT 2021,Intel Xeon CPU E5-2430 CPU @ 2.20GHz,yes,no,1965.2,1967.1,1967.0,257/0,xmr,xmrig,auto,